date,sales_category,daily_sales
10 Jan 2024,Electronics,6096.69
10 Jan 2024,Clothing and Apparel,12167.12
10 Jan 2024,Home and Furniture,9120.74
10 Jan 2024,Toys and Games,3345.15
10 Jan 2024,Health and Beauty,4979.54
10 Jan 2024,Automotive,1208.03
10 Jan 2024,Sports and Outdoors,2165.1
11 Jan 2024,Groceries,68014.66
11 Jan 2024,Electronics,13163.8
11 Jan 2024,Clothing and Apparel,7977.46
11 Jan 2024,Home and Furniture,3005.24
11 Jan 2024,Toys and Games,6380.67
11 Jan 2024,Health and Beauty,11316.73
11 Jan 2024,Automotive,1952.99
11 Jan 2024,Sports and Outdoors,4989.82
12 Jan 2024,Groceries,103155.57
12 Jan 2024,Electronics,13063.34
12 Jan 2024,Clothing and Apparel,7969.11
12 Jan 2024,Home and Furniture,7139.76
12 Jan 2024,Toys and Games,14686.08
12 Jan 2024,Health and Beauty,13008.46
12 Jan 2024,Automotive,6788.22
12 Jan 2024,Sports and Outdoors,4699.76
13 Jan 2024,Groceries,174323.37
13 Jan 2024,Electronics,17098.73
13 Jan 2024,Clothing and Apparel,19464.51
13 Jan 2024,Home and Furniture,17560.58
13 Jan 2024,Toys and Games,6539.74
13 Jan 2024,Health and Beauty,7786.9
13 Jan 2024,Automotive,6412.84
13 Jan 2024,Sports and Outdoors,8683.33
14 Jan 2024,Groceries,87882.15
14 Jan 2024,Electronics,22300.33
14 Jan 2024,Clothing and Apparel,20183.59
14 Jan 2024,Home and Furniture,16601.17
14 Jan 2024,Toys and Games,2758.25
14 Jan 2024,Health and Beauty,5081.43
14 Jan 2024,Automotive,2629.32
14 Jan 2024,Sports and Outdoors,12749.08
15 Jan 2024,Groceries,25596.85
15 Jan 2024,Electronics,12069.69
15 Jan 2024,Clothing and Apparel,15263.47
15 Jan 2024,Home and Furniture,8168.07
15 Jan 2024,Toys and Games,1723.37
15 Jan 2024,Health and Beauty,4666.24
15 Jan 2024,Automotive,3606.79
15 Jan 2024,Sports and Outdoors,3671.69
16 Jan 2024,Groceries,31185.53
16 Jan 2024,Electronics,15684.63
16 Jan 2024,Clothing and Apparel,14958.59
16 Jan 2024,Home and Furniture,5026.52
16 Jan 2024,Toys and Games,755.61
16 Jan 2024,Health and Beauty,9655.56
16 Jan 2024,Automotive,1186.99
16 Jan 2024,Sports and Outdoors,4343.27
17 Jan 2024,Groceries,79637.63
17 Jan 2024,Electronics,6470.57
17 Jan 2024,Clothing and Apparel,9322.73
17 Jan 2024,Home and Furniture,4637.05
17 Jan 2024,Toys and Games,2708.79
17 Jan 2024,Health and Beauty,4997.26
17 Jan 2024,Automotive,1307.76
17 Jan 2024,Sports and Outdoors,812.73
18 Jan 2024,Groceries,113687.42
18 Jan 2024,Electronics,11543.08
18 Jan 2024,Clothing and Apparel,2549.72
18 Jan 2024,Home and Furniture,3865.51
18 Jan 2024,Toys and Games,2796.3
18 Jan 2024,Health and Beauty,6498.01
18 Jan 2024,Automotive,3142.71
18 Jan 2024,Sports and Outdoors,954.46
19 Jan 2024,Groceries,148068.62
19 Jan 2024,Electronics,27321.63
19 Jan 2024,Clothing and Apparel,12838.57
19 Jan 2024,Home and Furniture,8563.5
19 Jan 2024,Toys and Games,3130.45
19 Jan 2024,Health and Beauty,5279.73
19 Jan 2024,Automotive,3627.22
19 Jan 2024,Sports and Outdoors,3472.15
20 Jan 2024,Groceries,243183.43
20 Jan 2024,Electronics,28418.38
20 Jan 2024,Clothing and Apparel,34403.3
20 Jan 2024,Home and Furniture,12101.81
20 Jan 2024,Toys and Games,5612.14
20 Jan 2024,Health and Beauty,21983.28
20 Jan 2024,Automotive,15262.58
20 Jan 2024,Sports and Outdoors,4810
21 Jan 2024,Groceries,120174.36
21 Jan 2024,Electronics,12077.84
21 Jan 2024,Clothing and Apparel,18571.48
21 Jan 2024,Home and Furniture,18982.74
21 Jan 2024,Toys and Games,8107.09
21 Jan 2024,Health and Beauty,20480.71
21 Jan 2024,Automotive,8778.77
21 Jan 2024,Sports and Outdoors,7960.02
22 Jan 2024,Groceries,114477.36
22 Jan 2024,Electronics,5920.54
22 Jan 2024,Clothing and Apparel,31332.98
22 Jan 2024,Home and Furniture,3495.59
22 Jan 2024,Toys and Games,3459.5
22 Jan 2024,Health and Beauty,3387.47
22 Jan 2024,Automotive,5472.72
22 Jan 2024,Sports and Outdoors,5958.03
23 Jan 2024,Groceries,24790.65
23 Jan 2024,Electronics,6370.66
23 Jan 2024,Clothing and Apparel,13507.11
23 Jan 2024,Home and Furniture,4523
23 Jan 2024,Toys and Games,2390.63
23 Jan 2024,Health and Beauty,6243.3
23 Jan 2024,Automotive,1544.04
23 Jan 2024,Sports and Outdoors,1214.27
24 Jan 2024,Groceries,23412.18
24 Jan 2024,Electronics,4892.21
24 Jan 2024,Clothing and Apparel,7836.95
24 Jan 2024,Home and Furniture,2776.81
24 Jan 2024,Toys and Games,1914.78
24 Jan 2024,Health and Beauty,3335.65
24 Jan 2024,Automotive,2487.44
24 Jan 2024,Sports and Outdoors,2094.64
25 Jan 2024,Groceries,79937.22
25 Jan 2024,Electronics,3090.59
25 Jan 2024,Clothing and Apparel,29474.47
25 Jan 2024,Home and Furniture,8473.59
25 Jan 2024,Toys and Games,1641.57
25 Jan 2024,Health and Beauty,3608.7
25 Jan 2024,Automotive,2275.32
25 Jan 2024,Sports and Outdoors,3233.85
26 Jan 2024,Groceries,73321.1
26 Jan 2024,Electronics,9414.43
26 Jan 2024,Clothing and Apparel,9294.72
26 Jan 2024,Home and Furniture,17402.09
26 Jan 2024,Toys and Games,12583.51
26 Jan 2024,Health and Beauty,12076.8
26 Jan 2024,Automotive,3695.77
26 Jan 2024,Sports and Outdoors,4019.46
27 Jan 2024,Groceries,295871.73
27 Jan 2024,Electronics,22481.08
27 Jan 2024,Clothing and Apparel,21803.93
27 Jan 2024,Home and Furniture,35268.17
27 Jan 2024,Toys and Games,4925.07
27 Jan 2024,Health and Beauty,7193.94
27 Jan 2024,Automotive,11326.95
27 Jan 2024,Sports and Outdoors,16834.51
28 Jan 2024,Groceries,52004.3
28 Jan 2024,Electronics,24758.35
28 Jan 2024,Clothing and Apparel,12004.44
28 Jan 2024,Home and Furniture,11882.38
28 Jan 2024,Toys and Games,2954.54
28 Jan 2024,Health and Beauty,13982.2
28 Jan 2024,Automotive,9313.16
28 Jan 2024,Sports and Outdoors,5165.52
29 Jan 2024,Groceries,42305.67
29 Jan 2024,Electronics,9682.52
29 Jan 2024,Clothing and Apparel,7354.28
29 Jan 2024,Home and Furniture,4918.8
29 Jan 2024,Toys and Games,2775.7
29 Jan 2024,Health and Beauty,8653.72
29 Jan 2024,Automotive,1440.89
29 Jan 2024,Sports and Outdoors,2374.06
30 Jan 2024,Groceries,27515.06
30 Jan 2024,Electronics,6074.97
30 Jan 2024,Clothing and Apparel,2057.84
30 Jan 2024,Home and Furniture,1255.69
30 Jan 2024,Toys and Games,1429.44
30 Jan 2024,Health and Beauty,5985.46
30 Jan 2024,Automotive,2115
30 Jan 2024,Sports and Outdoors,3203.79
31 Jan 2024,Groceries,32257.82
31 Jan 2024,Electronics,4374.12
31 Jan 2024,Clothing and Apparel,5256.35
31 Jan 2024,Home and Furniture,5093.18
31 Jan 2024,Toys and Games,2891.24
31 Jan 2024,Health and Beauty,2323.27
31 Jan 2024,Automotive,2019.76
31 Jan 2024,Sports and Outdoors,1406.43
01 Feb 2024,Groceries,66962.04
01 Feb 2024,Electronics,8512.5
01 Feb 2024,Clothing and Apparel,8642.01
01 Feb 2024,Home and Furniture,3971.92
01 Feb 2024,Toys and Games,1335.58
01 Feb 2024,Health and Beauty,6721.68
01 Feb 2024,Automotive,1185.71
01 Feb 2024,Sports and Outdoors,777.27
02 Feb 2024,Groceries,26375.59
02 Feb 2024,Electronics,6997.62
02 Feb 2024,Clothing and Apparel,14471.19
02 Feb 2024,Home and Furniture,7186.53
02 Feb 2024,Toys and Games,2565.82
02 Feb 2024,Health and Beauty,3593.48
02 Feb 2024,Automotive,3561.91
02 Feb 2024,Sports and Outdoors,3356.85
03 Feb 2024,Groceries,88526.17
03 Feb 2024,Electronics,15009.33
03 Feb 2024,Clothing and Apparel,17162.48
03 Feb 2024,Home and Furniture,4359.12
03 Feb 2024,Toys and Games,5533.73
03 Feb 2024,Health and Beauty,10302.63
03 Feb 2024,Automotive,3047.55
03 Feb 2024,Sports and Outdoors,1978.19
04 Feb 2024,Groceries,37998.67
04 Feb 2024,Electronics,17508.71
04 Feb 2024,Clothing and Apparel,24969.38
04 Feb 2024,Home and Furniture,8263.83
04 Feb 2024,Toys and Games,6236.54
04 Feb 2024,Health and Beauty,12532.58
04 Feb 2024,Automotive,3807.8
04 Feb 2024,Sports and Outdoors,3883.05
05 Feb 2024,Groceries,64694.52
05 Feb 2024,Electronics,13694.97
05 Feb 2024,Clothing and Apparel,5180.49
05 Feb 2024,Home and Furniture,6000.42
05 Feb 2024,Toys and Games,1507.71
05 Feb 2024,Health and Beauty,12722.9
05 Feb 2024,Automotive,2581.66
05 Feb 2024,Sports and Outdoors,1847.87
06 Feb 2024,Groceries,47539.82
06 Feb 2024,Electronics,5460.15
06 Feb 2024,Clothing and Apparel,3313.13
06 Feb 2024,Home and Furniture,4315.64
06 Feb 2024,Toys and Games,3027.81
06 Feb 2024,Health and Beauty,3681.61
06 Feb 2024,Automotive,674.53
06 Feb 2024,Sports and Outdoors,1023.64
07 Feb 2024,Groceries,15069.34
07 Feb 2024,Electronics,4963.95
07 Feb 2024,Clothing and Apparel,6995.54
07 Feb 2024,Home and Furniture,3027.23
07 Feb 2024,Toys and Games,1138.57
07 Feb 2024,Health and Beauty,2418.72
07 Feb 2024,Automotive,2273.32
07 Feb 2024,Sports and Outdoors,1636.7
08 Feb 2024,Groceries,26083.81
08 Feb 2024,Electronics,4675.73
08 Feb 2024,Clothing and Apparel,3572.07
08 Feb 2024,Home and Furniture,4264.01
08 Feb 2024,Toys and Games,2508.6
08 Feb 2024,Health and Beauty,6187.16
08 Feb 2024,Automotive,777.71
08 Feb 2024,Sports and Outdoors,3124.49
09 Feb 2024,Groceries,49442.55
09 Feb 2024,Electronics,14410.93
09 Feb 2024,Clothing and Apparel,6290.86
09 Feb 2024,Home and Furniture,4531.8
09 Feb 2024,Toys and Games,6600.36
09 Feb 2024,Health and Beauty,6896.62
09 Feb 2024,Automotive,1662.76
09 Feb 2024,Sports and Outdoors,2433.74
10 Feb 2024,Groceries,126370.8
10 Feb 2024,Electronics,19704.71
10 Feb 2024,Clothing and Apparel,48208.43
10 Feb 2024,Home and Furniture,21587.7
10 Feb 2024,Toys and Games,4831.43
10 Feb 2024,Health and Beauty,12873.24
10 Feb 2024,Automotive,4493.5
10 Feb 2024,Sports and Outdoors,2010.82
11 Feb 2024,Groceries,102551.58
11 Feb 2024,Electronics,21804.21
11 Feb 2024,Clothing and Apparel,12066.85
11 Feb 2024,Home and Furniture,18500.37
11 Feb 2024,Toys and Games,3279.51
11 Feb 2024,Health and Beauty,6785.08
11 Feb 2024,Automotive,4938.59
11 Feb 2024,Sports and Outdoors,7960.69
12 Feb 2024,Groceries,14122.23
12 Feb 2024,Electronics,7875.08
12 Feb 2024,Clothing and Apparel,2175.28
12 Feb 2024,Home and Furniture,8804.7
12 Feb 2024,Toys and Games,1371.02
12 Feb 2024,Health and Beauty,8212.45
12 Feb 2024,Automotive,1734.77
12 Feb 2024,Sports and Outdoors,2676.8
13 Feb 2024,Groceries,12712.4
13 Feb 2024,Electronics,3200.34
13 Feb 2024,Clothing and Apparel,2552.47
13 Feb 2024,Home and Furniture,1634.21
13 Feb 2024,Toys and Games,1000.52
13 Feb 2024,Health and Beauty,2499.93
13 Feb 2024,Automotive,984.53
13 Feb 2024,Sports and Outdoors,441.01
14 Feb 2024,Groceries,16307.61
14 Feb 2024,Electronics,6464.01
14 Feb 2024,Clothing and Apparel,4290.97
14 Feb 2024,Home and Furniture,1616.87
14 Feb 2024,Toys and Games,4385.82
14 Feb 2024,Health and Beauty,9771.3
14 Feb 2024,Automotive,1691.42
14 Feb 2024,Sports and Outdoors,1821.49
15 Feb 2024,Groceries,30012.95
15 Feb 2024,Electronics,6349.24
15 Feb 2024,Clothing and Apparel,4584.5
15 Feb 2024,Home and Furniture,2896
15 Feb 2024,Toys and Games,2508.72
15 Feb 2024,Health and Beauty,6930.33
15 Feb 2024,Automotive,2186.36
15 Feb 2024,Sports and Outdoors,860.58
16 Feb 2024,Groceries,115075.18
16 Feb 2024,Electronics,15943.12
16 Feb 2024,Clothing and Apparel,10087.83
16 Feb 2024,Home and Furniture,5766.54
16 Feb 2024,Toys and Games,3359.12
16 Feb 2024,Health and Beauty,5006.97
16 Feb 2024,Automotive,2483.36
16 Feb 2024,Sports and Outdoors,2509.86
17 Feb 2024,Groceries,61754.03
17 Feb 2024,Electronics,13583.37
17 Feb 2024,Clothing and Apparel,67323.51
17 Feb 2024,Home and Furniture,11273.66
17 Feb 2024,Toys and Games,5549.94
17 Feb 2024,Health and Beauty,28482.83
17 Feb 2024,Automotive,7039.61
17 Feb 2024,Sports and Outdoors,5669.34
18 Feb 2024,Groceries,96361.45
18 Feb 2024,Electronics,14445.69
18 Feb 2024,Clothing and Apparel,22436.77
18 Feb 2024,Home and Furniture,32220.91
18 Feb 2024,Toys and Games,4376.48
18 Feb 2024,Health and Beauty,15471.71
18 Feb 2024,Automotive,3909.84
18 Feb 2024,Sports and Outdoors,6650.9
19 Feb 2024,Groceries,86140.98
19 Feb 2024,Electronics,3319.31
19 Feb 2024,Clothing and Apparel,4429.47
19 Feb 2024,Home and Furniture,4209.17
19 Feb 2024,Toys and Games,1618.77
19 Feb 2024,Health and Beauty,3067.84
19 Feb 2024,Automotive,1001.12
19 Feb 2024,Sports and Outdoors,1218.37
20 Feb 2024,Groceries,47029.77
20 Feb 2024,Electronics,2320.98
20 Feb 2024,Clothing and Apparel,7926.67
20 Feb 2024,Home and Furniture,2211.29
20 Feb 2024,Toys and Games,1915.02
20 Feb 2024,Health and Beauty,3064.97
20 Feb 2024,Automotive,1552.49
20 Feb 2024,Sports and Outdoors,1330.46
21 Feb 2024,Groceries,15353.78
21 Feb 2024,Electronics,10272.18
21 Feb 2024,Clothing and Apparel,5052.42
21 Feb 2024,Home and Furniture,4993.98
21 Feb 2024,Toys and Games,2570.97
21 Feb 2024,Health and Beauty,1801.29
21 Feb 2024,Automotive,595.57
21 Feb 2024,Sports and Outdoors,1331.83
22 Feb 2024,Groceries,43203.86
22 Feb 2024,Electronics,11338.74
22 Feb 2024,Clothing and Apparel,7362.44
22 Feb 2024,Home and Furniture,8644.03
22 Feb 2024,Toys and Games,2713.14
22 Feb 2024,Health and Beauty,2124.75
22 Feb 2024,Automotive,1248.1
22 Feb 2024,Sports and Outdoors,1655.55
23 Feb 2024,Groceries,61507.11
23 Feb 2024,Electronics,13500.4
23 Feb 2024,Clothing and Apparel,11114.86
23 Feb 2024,Home and Furniture,3072.98
23 Feb 2024,Toys and Games,2251.45
23 Feb 2024,Health and Beauty,6851.66
23 Feb 2024,Automotive,1248.83
23 Feb 2024,Sports and Outdoors,2879.5
24 Feb 2024,Groceries,72669.9
24 Feb 2024,Electronics,18247.16
24 Feb 2024,Clothing and Apparel,8526.85
24 Feb 2024,Home and Furniture,17268.83
24 Feb 2024,Toys and Games,4005.47
24 Feb 2024,Health and Beauty,14305.89
24 Feb 2024,Automotive,11466.13
24 Feb 2024,Sports and Outdoors,11784.51
25 Feb 2024,Groceries,82902.22
25 Feb 2024,Electronics,11555.66
25 Feb 2024,Clothing and Apparel,22855.16
25 Feb 2024,Home and Furniture,9063.1
25 Feb 2024,Toys and Games,2421.82
25 Feb 2024,Health and Beauty,4745.9
25 Feb 2024,Automotive,18486.77
25 Feb 2024,Sports and Outdoors,2452.41
26 Feb 2024,Groceries,47125.25
26 Feb 2024,Electronics,2440.96
26 Feb 2024,Clothing and Apparel,5189.02
26 Feb 2024,Home and Furniture,6553.09
26 Feb 2024,Toys and Games,1812.65
26 Feb 2024,Health and Beauty,4416.78
26 Feb 2024,Automotive,3691.7
26 Feb 2024,Sports and Outdoors,3143.71
27 Feb 2024,Groceries,45130.39
27 Feb 2024,Electronics,2278.03
27 Feb 2024,Clothing and Apparel,5592.09
27 Feb 2024,Home and Furniture,1700.27
27 Feb 2024,Toys and Games,3336.8
27 Feb 2024,Health and Beauty,3168.52
27 Feb 2024,Automotive,1473.85
27 Feb 2024,Sports and Outdoors,1309.48
28 Feb 2024,Groceries,34774
28 Feb 2024,Electronics,5958.34
28 Feb 2024,Clothing and Apparel,6686.44
28 Feb 2024,Home and Furniture,3228.76
28 Feb 2024,Toys and Games,1149.73
28 Feb 2024,Health and Beauty,3248.36
28 Feb 2024,Automotive,1397.86
28 Feb 2024,Sports and Outdoors,1258.62
29 Feb 2024,Groceries,49323.35
29 Feb 2024,Electronics,12102.21
29 Feb 2024,Clothing and Apparel,3773.91
29 Feb 2024,Home and Furniture,6422.58
29 Feb 2024,Toys and Games,1855.1
29 Feb 2024,Health and Beauty,3779.91
29 Feb 2024,Automotive,2122.71
29 Feb 2024,Sports and Outdoors,3662.72
01 Mar 2024,Groceries,106911.2
01 Mar 2024,Electronics,12642.07
01 Mar 2024,Clothing and Apparel,6362.77
01 Mar 2024,Home and Furniture,2776.9
01 Mar 2024,Toys and Games,3178.18
01 Mar 2024,Health and Beauty,11858.32
01 Mar 2024,Automotive,4294.86
01 Mar 2024,Sports and Outdoors,2854.77
02 Mar 2024,Groceries,111181.86
02 Mar 2024,Electronics,8876.94
02 Mar 2024,Clothing and Apparel,23234.82
02 Mar 2024,Home and Furniture,9994.48
02 Mar 2024,Toys and Games,7169.97
02 Mar 2024,Health and Beauty,11136.69
02 Mar 2024,Automotive,3259.82
02 Mar 2024,Sports and Outdoors,3141.42
03 Mar 2024,Groceries,79940.85
03 Mar 2024,Electronics,9213.5
03 Mar 2024,Clothing and Apparel,15331.19
03 Mar 2024,Home and Furniture,8893.7
03 Mar 2024,Toys and Games,2713.06
03 Mar 2024,Health and Beauty,17640.79
03 Mar 2024,Automotive,1423.12
03 Mar 2024,Sports and Outdoors,3674.29
04 Mar 2024,Groceries,28706.78
04 Mar 2024,Electronics,3824.16
04 Mar 2024,Clothing and Apparel,2839.48
04 Mar 2024,Home and Furniture,4550.48
04 Mar 2024,Toys and Games,1364.8
04 Mar 2024,Health and Beauty,3586.69
04 Mar 2024,Automotive,1810.54
04 Mar 2024,Sports and Outdoors,1710.32
05 Mar 2024,Groceries,12506.9
05 Mar 2024,Electronics,8029.93
05 Mar 2024,Clothing and Apparel,7309.49
05 Mar 2024,Home and Furniture,493.18
05 Mar 2024,Toys and Games,987.01
05 Mar 2024,Health and Beauty,900.25
05 Mar 2024,Automotive,1376.79
05 Mar 2024,Sports and Outdoors,822.28
06 Mar 2024,Groceries,13339.78
06 Mar 2024,Electronics,6558.19
06 Mar 2024,Clothing and Apparel,3551.58
06 Mar 2024,Home and Furniture,1485.14
06 Mar 2024,Toys and Games,1729.68
06 Mar 2024,Health and Beauty,4444.13
06 Mar 2024,Automotive,673.39
06 Mar 2024,Sports and Outdoors,841.87
07 Mar 2024,Groceries,18877.92
07 Mar 2024,Electronics,3379.89
07 Mar 2024,Clothing and Apparel,7096.44
07 Mar 2024,Home and Furniture,1987.46
07 Mar 2024,Toys and Games,972.14
07 Mar 2024,Health and Beauty,1939.68
07 Mar 2024,Automotive,1152.23
07 Mar 2024,Sports and Outdoors,2423.68
08 Mar 2024,Groceries,94439.83
08 Mar 2024,Electronics,13191.72
08 Mar 2024,Clothing and Apparel,11100.4
08 Mar 2024,Home and Furniture,2179.13
08 Mar 2024,Toys and Games,2945.01
08 Mar 2024,Health and Beauty,5244.97
08 Mar 2024,Automotive,5430.14
08 Mar 2024,Sports and Outdoors,1362.15
09 Mar 2024,Groceries,61084.47
09 Mar 2024,Electronics,12571.16
09 Mar 2024,Clothing and Apparel,15882.99
09 Mar 2024,Home and Furniture,7652.89
09 Mar 2024,Toys and Games,8133.99
09 Mar 2024,Health and Beauty,37283.77
09 Mar 2024,Automotive,6683.64
09 Mar 2024,Sports and Outdoors,4157.26
10 Mar 2024,Groceries,70891.45
10 Mar 2024,Electronics,16191.14
10 Mar 2024,Clothing and Apparel,12750.54
10 Mar 2024,Home and Furniture,4132.13
10 Mar 2024,Toys and Games,3884.23
10 Mar 2024,Health and Beauty,10196.73
10 Mar 2024,Automotive,1366.45
10 Mar 2024,Sports and Outdoors,2040.06
11 Mar 2024,Groceries,31364.25
11 Mar 2024,Electronics,15646.14
11 Mar 2024,Clothing and Apparel,2284.76
11 Mar 2024,Home and Furniture,838.95
11 Mar 2024,Toys and Games,3609.86
11 Mar 2024,Health and Beauty,2477.58
11 Mar 2024,Automotive,1350.72
11 Mar 2024,Sports and Outdoors,2415.98
12 Mar 2024,Groceries,31747.94
12 Mar 2024,Electronics,2411.28
12 Mar 2024,Clothing and Apparel,4078.35
12 Mar 2024,Home and Furniture,2756.11
12 Mar 2024,Toys and Games,432.41
12 Mar 2024,Health and Beauty,1678.98
12 Mar 2024,Automotive,759.16
12 Mar 2024,Sports and Outdoors,273.89
13 Mar 2024,Groceries,7326.57
13 Mar 2024,Electronics,4774.19
13 Mar 2024,Clothing and Apparel,3561.13
13 Mar 2024,Home and Furniture,2122.64
13 Mar 2024,Toys and Games,695.2
13 Mar 2024,Health and Beauty,2783.85
13 Mar 2024,Automotive,628.56
13 Mar 2024,Sports and Outdoors,727.86
14 Mar 2024,Groceries,94248.78
14 Mar 2024,Electronics,8410.85
14 Mar 2024,Clothing and Apparel,5184.24
14 Mar 2024,Home and Furniture,1692.07
14 Mar 2024,Toys and Games,3596.56
14 Mar 2024,Health and Beauty,5225.47
14 Mar 2024,Automotive,1241.49
14 Mar 2024,Sports and Outdoors,1483.98
15 Mar 2024,Groceries,50175.2
15 Mar 2024,Electronics,10891.54
15 Mar 2024,Clothing and Apparel,6259.99
15 Mar 2024,Home and Furniture,2852.38
15 Mar 2024,Toys and Games,796.06
15 Mar 2024,Health and Beauty,3302.71
15 Mar 2024,Automotive,1680.41
15 Mar 2024,Sports and Outdoors,1376.41
16 Mar 2024,Groceries,114305.06
16 Mar 2024,Electronics,20862.04
16 Mar 2024,Clothing and Apparel,17697.38
16 Mar 2024,Home and Furniture,6118.98
16 Mar 2024,Toys and Games,5343.76
16 Mar 2024,Health and Beauty,11250.09
16 Mar 2024,Automotive,3290.8
16 Mar 2024,Sports and Outdoors,3195.6
17 Mar 2024,Groceries,62020.94
17 Mar 2024,Electronics,8302.02
17 Mar 2024,Clothing and Apparel,23344.44
17 Mar 2024,Home and Furniture,3884.67
17 Mar 2024,Toys and Games,3178.34
17 Mar 2024,Health and Beauty,7409.07
17 Mar 2024,Automotive,2438.46
17 Mar 2024,Sports and Outdoors,3894.15
18 Mar 2024,Groceries,15734.63
18 Mar 2024,Electronics,5643.21
18 Mar 2024,Clothing and Apparel,4969.71
18 Mar 2024,Home and Furniture,1941.29
18 Mar 2024,Toys and Games,1371.83
18 Mar 2024,Health and Beauty,1933.95
18 Mar 2024,Automotive,656.91
18 Mar 2024,Sports and Outdoors,4852.21
19 Mar 2024,Groceries,11072.67
19 Mar 2024,Electronics,6722.67
19 Mar 2024,Clothing and Apparel,6610.54
19 Mar 2024,Home and Furniture,4346.04
19 Mar 2024,Toys and Games,981.44
19 Mar 2024,Health and Beauty,1101.22
19 Mar 2024,Automotive,2299.26
19 Mar 2024,Sports and Outdoors,1150.78
20 Mar 2024,Groceries,23499.18
20 Mar 2024,Electronics,5162.01
20 Mar 2024,Clothing and Apparel,3878.74
20 Mar 2024,Home and Furniture,1703.14
20 Mar 2024,Toys and Games,825.63
20 Mar 2024,Health and Beauty,5758.73
20 Mar 2024,Automotive,960.89
20 Mar 2024,Sports and Outdoors,591.46
21 Mar 2024,Groceries,26170.26
21 Mar 2024,Electronics,5173.01
21 Mar 2024,Clothing and Apparel,8104.77
21 Mar 2024,Home and Furniture,1440.75
21 Mar 2024,Toys and Games,2812.28
21 Mar 2024,Health and Beauty,1772.05
21 Mar 2024,Automotive,798.32
21 Mar 2024,Sports and Outdoors,848.44
22 Mar 2024,Groceries,20287.49
22 Mar 2024,Electronics,13494.83
22 Mar 2024,Clothing and Apparel,15825.11
22 Mar 2024,Home and Furniture,12842.74
22 Mar 2024,Toys and Games,1935.81
22 Mar 2024,Health and Beauty,6646.01
22 Mar 2024,Automotive,2690.31
22 Mar 2024,Sports and Outdoors,4011.16
23 Mar 2024,Groceries,171896.49
23 Mar 2024,Electronics,28825.12
23 Mar 2024,Clothing and Apparel,12797.34
